year_month,fiscal_year,variable_name,n,min_reported,max_reported,table_date,file_date
2024_12,2025,order_of_recognizance,1108,1106,1110,2025-09-20,2025-10-30
2025_01,2025,order_of_recognizance,1023,1023,1033,2025-09-20,2025-10-30
2025_02,2025,order_of_recognizance,326,326,328,2025-09-20,2025-10-30
2025_03,2025,order_of_recognizance,99,98,104,2025-09-20,2025-10-30
2025_04,2025,order_of_recognizance,125,122,125,2025-09-20,2025-10-30
2025_05,2025,order_of_recognizance,142,142,142,2025-09-20,2025-10-30
2025_06,2025,order_of_recognizance,148,147,148,2025-09-20,2025-10-30
2025_07,2025,order_of_recognizance,277,277,277,2025-09-20,2025-10-30
2025_08,2025,order_of_recognizance,219,219,219,2025-09-20,2025-10-30
2025_09,2025,order_of_recognizance,145,,,2025-09-20,2025-10-30
2025_10,2026,order_of_recognizance,289,287,289,2026-02-07,2026-02-13
2025_11,2026,order_of_recognizance,346,345,347,2026-02-07,2026-02-13
2025_12,2026,order_of_recognizance,632,628,633,2026-02-07,2026-02-13
2026_01,2026,order_of_recognizance,1357,1357,1357,2026-02-07,2026-02-13
2026_02,2026,order_of_recognizance,571,,,2026-02-07,2026-02-13
2020_10,2021,order_of_supervision,405,403,406,2021-09-25,2021-10-02
2020_11,2021,order_of_supervision,686,684,688,2021-09-25,2021-10-02
2020_12,2021,order_of_supervision,785,785,795,2021-09-25,2021-10-02
2021_01,2021,order_of_supervision,844,844,871,2021-09-25,2021-10-02
2021_02,2021,order_of_supervision,978,978,986,2021-09-25,2021-10-02
2021_03,2021,order_of_supervision,1889,1878,1902,2021-09-25,2021-10-02
2021_04,2021,order_of_supervision,1031,1018,1031,2021-09-25,2021-10-02
2021_05,2021,order_of_supervision,652,652,665,2021-09-25,2021-10-02
2021_06,2021,order_of_supervision,824,824,874,2021-09-25,2021-10-02
2021_07,2021,order_of_supervision,861,861,920,2021-09-25,2021-10-02
2021_08,2021,order_of_supervision,976,976,1101,2021-09-25,2021-10-02
2021_09,2021,order_of_supervision,491,,,2021-09-25,2021-10-02
2021_10,2022,order_of_supervision,463,459,555,2022-09-24,2022-09-30
2021_11,2022,order_of_supervision,759,754,844,2022-09-24,2022-09-30
2021_12,2022,order_of_supervision,1143,1132,1187,2022-09-24,2022-09-30
2022_01,2022,order_of_supervision,1187,1176,1194,2022-09-24,2022-09-30
2022_02,2022,order_of_supervision,535,503,535,2022-09-24,2022-09-30
2022_03,2022,order_of_supervision,614,614,646,2022-09-24,2022-09-30
2022_04,2022,order_of_supervision,558,548,563,2022-09-24,2022-09-30
2022_05,2022,order_of_supervision,605,600,612,2022-09-24,2022-09-30
2022_06,2022,order_of_supervision,584,561,584,2022-09-24,2022-09-30
2022_07,2022,order_of_supervision,431,428,431,2022-09-24,2022-09-30
2022_08,2022,order_of_supervision,565,564,565,2022-09-24,2022-09-30
2022_09,2022,order_of_supervision,425,,,2022-09-24,2022-09-30
2022_10,2023,order_of_supervision,430,430,435,2023-10-03,2023-11-08
2022_11,2023,order_of_supervision,306,306,323,2023-10-03,2023-11-08
2022_12,2023,order_of_supervision,1209,1209,1243,2023-10-03,2023-11-08
2023_01,2023,order_of_supervision,767,767,791,2023-10-03,2023-11-08
2023_02,2023,order_of_supervision,249,249,257,2023-10-03,2023-11-08
2023_03,2023,order_of_supervision,320,320,327,2023-10-03,2023-11-08
2023_04,2023,order_of_supervision,324,324,342,2023-10-03,2023-11-08
2023_05,2023,order_of_supervision,296,296,301,2023-10-03,2023-11-08
2023_06,2023,order_of_supervision,259,255,260,2023-10-03,2023-11-08
2023_07,2023,order_of_supervision,327,327,333,2023-10-03,2023-11-08
2023_08,2023,order_of_supervision,342,342,347,2023-10-03,2023-11-08
2023_09,2023,order_of_supervision,455,455,455,2023-10-03,2023-11-08
2023_10,2024,order_of_supervision,549,549,554,2024-10-03,2024-10-01
2023_11,2024,order_of_supervision,387,385,393,2024-10-03,2024-10-01
